# AUTO-GENERATED by `lake exe scope-check --write` from docs/scope-tags.tsv and the
# kernel environment. Do not hand-edit. published = the weaker of a theorem's own
# (relation) tag and the model tags of the CflibsFormal definitions in its statement;
# PURE-MATH exempt (owner decision 2026-09-24; docs/conventions.md section 8).
# via = the tagged definitions that weakened it.
# module	name	kind	own	published	via
Aitchison.lean	closure_sum_one	theorem	PURE-MATH	PURE-MATH	—
Aitchison.lean	clr_sum_zero	theorem	PURE-MATH	PURE-MATH	—
Aitchison.lean	softmax_log_eq_closure	theorem	PURE-MATH	PURE-MATH	—
Aitchison.lean	softmax_sum_one	theorem	PURE-MATH	PURE-MATH	—
AitchisonIsometry.lean	clrE_mem	theorem	PURE-MATH	PURE-MATH	—
AitchisonIsometry.lean	ilr_inner	theorem	PURE-MATH	PURE-MATH	—
AitchisonIsometry.lean	ilr_isometry	theorem	PURE-MATH	PURE-MATH	—
Alt/CSigma.lean	csigmaComposition_eq_classicComposition	theorem	PURE-MATH	PURE-MATH	—
Alt/CSigma.lean	csigmaDensity_offset_eq_classicDensity	theorem	PURE-MATH	PURE-MATH	—
Alt/CSigma.lean	csigmaOffset_of_lineIntensity	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_agrees_classic	theorem	PURE-MATH	PURE-MATH	—
Alt/CSigma.lean	csigma_agrees_of_sound	theorem	PURE-MATH	PURE-MATH	—
Alt/CSigma.lean	csigma_cross_stage_collapse	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_density_offset	theorem	REDUCED	REDUCED	—
Alt/CSigma.lean	csigma_master_line	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_master_line_indep_species	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_master_olsSlope	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_saha_master_line	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_saha_universal_line	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_sound	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_temperature_cross_stage	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_universal_indep_species	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	csigma_universal_line	theorem	EXACT	REDUCED	lineIntensity
Alt/CSigma.lean	sound_agree	theorem	PURE-MATH	PURE-MATH	—
Alt/CSigmaCurveOfGrowth.lean	csigma_curve_of_growth_density_droop	theorem	APPROXIMATION	APPROXIMATION	—
Alt/CSigmaCurveOfGrowth.lean	csigma_curve_of_growth_droop	theorem	APPROXIMATION	APPROXIMATION	—
Alt/CSigmaCurveOfGrowth.lean	csigma_curve_of_growth_le	theorem	APPROXIMATION	APPROXIMATION	—
Alt/CSigmaCurveOfGrowth.lean	csigma_curve_of_growth_lt	theorem	APPROXIMATION	APPROXIMATION	—
Alt/CSigmaCurveOfGrowth.lean	csigma_curve_of_growth_strictAntiOn	theorem	APPROXIMATION	APPROXIMATION	—
Alt/CSigmaCurveOfGrowth.lean	csigma_curve_of_growth_tendsto_universal	theorem	APPROXIMATION	APPROXIMATION	—
Alt/CSigmaCurveOfGrowth.lean	csigma_curve_of_growth_thin	theorem	APPROXIMATION	APPROXIMATION	—
Alt/GaussMarkov.lean	linEstimator_eq	theorem	PURE-MATH	PURE-MATH	—
Alt/GaussMarkov.lean	linEstimator_eq_unbiased	theorem	PURE-MATH	PURE-MATH	—
Alt/GaussMarkov.lean	linEstimator_expectation	theorem	PURE-MATH	PURE-MATH	—
Alt/GaussMarkov.lean	linEstimator_unbiased_iff	theorem	PURE-MATH	PURE-MATH	—
Alt/GaussMarkov.lean	linEstimator_variance	theorem	EXACT	EXACT	—
Alt/GaussMarkov.lean	ols_is_blue	theorem	REDUCED	REDUCED	—
Alt/GaussMarkov.lean	weight_sq_ge_noiseGain	theorem	PURE-MATH	PURE-MATH	—
Alt/LeastSquares.lean	leastSquares_agrees_classic	theorem	REDUCED	REDUCED	—
Alt/LeastSquares.lean	leastSquares_sound	theorem	REDUCED	REDUCED	—
Alt/LeastSquares.lean	olsBoltzmann_forward_feasible	theorem	REDUCED	REDUCED	—
Alt/LeastSquares.lean	olsBoltzmann_forward_feasible_at	theorem	REDUCED	REDUCED	—
Alt/LeastSquares.lean	olsDensity_recovers	theorem	REDUCED	REDUCED	—
Alt/LeastSquares.lean	olsIntercept_of_forward	theorem	REDUCED	REDUCED	—
Alt/NeutralityScale.lean	closureEstimate_bias	theorem	EXACT	REDUCED	lineIntensity
Alt/NeutralityScale.lean	lineIntensity_linear	theorem	EXACT	REDUCED	lineIntensity
Alt/NeutralityScale.lean	lineIntensity_ratio	theorem	EXACT	REDUCED	lineIntensity
Alt/NeutralityScale.lean	neutralityScale_eq_Fcal	theorem	EXACT	REDUCED	lineIntensity
Alt/NeutralityScale.lean	neutralityScale_undetected	theorem	EXACT	REDUCED	lineIntensity
Alt/OLSAtomicDataPerturbation.lean	olsComposition_atomicData_error	theorem	REDUCED	REDUCED	—
Alt/OLSAtomicDataPerturbation.lean	olsDensity_aliasing_A	theorem	EXACT	REDUCED	lineIntensity
Alt/OLSAtomicDataPerturbation.lean	olsDensity_aliasing_A_error	theorem	REDUCED	REDUCED	—
Alt/OLSAtomicDataPerturbation.lean	olsDensity_aliasing_E_error	theorem	REDUCED	REDUCED	—
Alt/OLSAtomicDataPerturbation.lean	olsIntercept_wrong_abscissa	theorem	EXACT	EXACT	—
Alt/OLSAtomicDataPerturbation.lean	olsSlope_wrong_abscissa	theorem	EXACT	EXACT	—
Alt/OLSVariance.lean	expectation_const_add_weightedNoise	theorem	PURE-MATH	PURE-MATH	—
Alt/OLSVariance.lean	olsSlope_estimator_eq	theorem	PURE-MATH	PURE-MATH	—
Alt/OLSVariance.lean	olsSlope_unbiased	theorem	REDUCED	REDUCED	—
Alt/OLSVariance.lean	olsSlope_variance_antitone	theorem	EXACT	EXACT	—
Alt/OLSVariance.lean	olsSlope_variance_eq	theorem	EXACT	EXACT	—
Alt/OLSVariance.lean	olsSlope_variance_noiseGain	theorem	EXACT	EXACT	—
Alt/OLSVariance.lean	variance_const_add_weightedNoise	theorem	PURE-MATH	PURE-MATH	—
Alt/SelfAbsorbed.lean	classicDensity_smul_intensity	theorem	PURE-MATH	PURE-MATH	—
